,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 1}","{'activation': 'relu', 'alpha': 1.0, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 379.2690190732246},{'var_smoothing': 1.0},"{'criterion': 'gini', 'max_depth': 3, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,,,87.91265397536394,93.8622620380739,,
2,AccuracyTest,92.37288135593221,94.91525423728814,90.67796610169492,96.1864406779661,62.71186440677966,77.96610169491525
