,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 2}","{'activation': 'relu', 'alpha': 0.03162277660168379, 'hidden_layer_sizes': (5, 50, 50, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 1623.7767391887176},{'var_smoothing': 0.0657933224657568},"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,98.7572555084584,93.78539107950873,98.5195968645017,98.62597984322508,46.150183150183146,88.93525102348632
2,AccuracyTest,90.67796610169492,90.67796610169492,88.98305084745762,87.71186440677965,90.67796610169492,89.40677966101694
