,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 5}","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 20.6913808111479},{'var_smoothing': 0.005336699231206307},"{'criterion': 'gini', 'max_depth': 3, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.03225806451613,48.0,99.47032474804033,99.36506159014557,23.333333333333332,64.66666666666667
2,AccuracyTest,95.76271186440678,96.1864406779661,95.76271186440678,95.76271186440678,95.33898305084746,95.76271186440678
