,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 2}","{'activation': 'relu', 'alpha': 0.03162277660168379, 'hidden_layer_sizes': (5, 50, 50, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 379.2690190732246},{'var_smoothing': 0.01519911082952933},"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.46958504331965,90.86059511523908,98.09406494960807,98.20044792833146,78.34665132955617,89.04325765393877
2,AccuracyTest,77.96610169491525,77.54237288135593,77.54237288135593,76.27118644067797,75.84745762711864,77.96610169491525
