,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 3}","{'activation': 'relu', 'alpha': 0.03162277660168379, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 379.2690190732246},{'var_smoothing': 0.657933224657568},"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.60921756653465,98.51847704367302,98.62486002239642,98.52183650615902,89.72228443449048,98.41321388577826
2,AccuracyTest,99.15254237288136,99.15254237288136,99.57627118644068,100.0,87.71186440677965,98.30508474576271
