,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 3}","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 1623.7767391887176},{'var_smoothing': 0.04328761281083057},"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,98.98885192397853,93.30340557275541,98.26917936380646,98.26650628174285,84.77756892230576,87.81372549019608
2,AccuracyTest,77.06422018348624,77.98165137614679,77.98165137614679,76.60550458715596,76.60550458715596,77.98165137614679
