,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 100}","{'metric': 'euclidean', 'n_neighbors': 1}","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 1623.7767391887176},{'var_smoothing': 0.1},"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.94889937106919,100.0,99.60831259878253,99.9161228737305,98.18185374708544,99.74844686477944
2,AccuracyTest,99.88814317673378,100.0,99.88814317673378,100.0,98.43400447427292,99.88814317673378
