,Metricas,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF,XGBoost
0,MejoresParametros,"{'metric': 'euclidean', 'n_neighbors': 1}","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'max_iter': 4, 'solver': 'adam'}",{'C': 379.2690190732246},{'var_smoothing': 0.001873817422860383},"{'criterion': 'entropy', 'max_depth': None, 'max_features': 5, 'n_estimators': 150}","{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 180}"
1,AccuracyTrain,99.74844686477944,99.58061436865249,99.74844686477944,93.51438899582179,99.46880428148913,99.96963162805226
2,AccuracyTest,77.87709497206704,77.98882681564245,78.10055865921788,83.57541899441341,78.32402234636872,78.10055865921788
