,Metricas,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF,XGBoost
0,MejoresParametros,"{'metric': 'euclidean', 'n_neighbors': 1}","{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'max_iter': 4, 'solver': 'adam'}",{'C': 29763.51441631313},{'var_smoothing': 0.0001519911082952933},"{'criterion': 'entropy', 'max_depth': None, 'max_features': 5, 'n_estimators': 150}","{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 140}"
1,AccuracyTrain,99.63679326479195,99.16177644242055,99.77645806926122,94.04613241944823,99.30112827253807,99.95283018867924
2,AccuracyTest,79.88826815642457,78.43575418994413,79.88826815642457,76.75977653631286,80.0,79.88826815642457
