,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 50}","{'metric': 'manhattan', 'n_neighbors': 2}","{'activation': 'relu', 'alpha': 0.03162277660168379, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 1623.7767391887176},{'var_smoothing': 1.0},"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.9626572327044,99.94413407821229,99.83216750387307,99.91620111731845,97.53892618499913,99.83232399104892
2,AccuracyTest,77.2930648769575,77.51677852348993,77.51677852348993,77.51677852348993,76.28635346756153,77.40492170022371
