,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 50}","{'metric': 'manhattan', 'n_neighbors': 1}","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 25, 'solver': 'adam'}",{'C': 29763.51441631313},{'var_smoothing': 0.004328761281083057},"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,,99.04949689372955,92.0595277217032,99.46872603790119,82.71716507832183,98.43379810024568
2,AccuracyTest,98.2102908277405,99.55257270693512,90.82774049217002,99.55257270693512,82.66219239373602,98.3221476510067
