,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 1}","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (5, 50, 50, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 1.1288378916846884},{'var_smoothing': 0.43287612810830584},"{'criterion': 'gini', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,97.64044943820224,100.0,99.8901098901099,99.67152412804587,60.09523809523809,86.9047619047619
2,AccuracyTest,88.64628820960698,89.08296943231441,89.08296943231441,89.51965065502183,90.39301310043668,89.51965065502183
