,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}","{'metric': 'manhattan', 'n_neighbors': 1}","{'activation': 'relu', 'alpha': 0.03162277660168379, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 25, 'solver': 'adam'}",{'C': 379.2690190732246},{'var_smoothing': 0.3511191734215131},"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,98.30268644046637,95.66853002070395,98.13425704730052,98.35403726708074,85.6055290924856,89.4453056688439
2,AccuracyTest,96.94323144104804,97.37991266375546,96.50655021834062,96.94323144104804,96.94323144104804,97.37991266375546
