,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 100}","{'metric': 'euclidean', 'n_neighbors': 3}","{'activation': 'relu', 'alpha': 0.03162277660168379, 'hidden_layer_sizes': (5, 50, 50, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 1623.7767391887176},{'var_smoothing': 0.0533669923120631},"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.51761517615176,91.41735840026323,97.80697563306259,98.13903487816532,79.27229140043785,88.42817828885941
2,AccuracyTest,98.68995633187772,96.94323144104804,96.94323144104804,97.37991266375546,94.75982532751091,98.68995633187772
