,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 1}","{'activation': 'relu', 'alpha': 0.03162277660168379, 'hidden_layer_sizes': (5, 50, 50, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 29763.51441631313},{'var_smoothing': 0.01519911082952933},"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.62146320171613,98.96285140562249,99.41262538534966,99.7762233384974,75.66934680897127,97.18063180934952
2,AccuracyTest,78.07606263982103,77.96420581655481,78.41163310961969,77.85234899328859,82.66219239373602,78.41163310961969
