,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 3}","{'activation': 'relu', 'alpha': 0.03162277660168379, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 127427.49857031321},{'var_smoothing': 0.533669923120631},"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.7960992235553,99.6103896103896,99.63640204685227,99.86017870835487,89.35298152333866,98.43108119950224
2,AccuracyTest,76.62192393736018,76.51006711409396,76.39821029082773,76.1744966442953,77.2930648769575,76.62192393736018
