,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 2, 'n_estimators': 50}","{'metric': 'manhattan', 'n_neighbors': 3}","{'activation': 'relu', 'alpha': 0.03162277660168379, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 379.2690190732246},{'var_smoothing': 0.02310129700083159},"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.80341172598817,98.29100022784235,99.60862557313428,99.8881116692487,45.53286249588201,97.37489869668417
2,AccuracyTest,77.51677852348993,77.62863534675614,78.18791946308725,77.51677852348993,85.23489932885906,77.18120805369128
