,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}","{'metric': 'manhattan', 'n_neighbors': 3}","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (5, 50, 50, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 545559.4781168514},{'var_smoothing': 6.579332246575683e-05},"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.80863604986205,96.13560840822683,99.2479644707624,99.48159612408315,74.74602921404549,96.29937718456759
2,AccuracyTest,78.13471502590673,78.23834196891191,77.61658031088083,77.92746113989637,70.36269430051814,78.03108808290156
