,Metricas,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF
0,MejoresParametros,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}","{'metric': 'euclidean', 'n_neighbors': 1}","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (5, 100, 9), 'learning_rate_init': 0.1, 'max_iter': 50, 'solver': 'adam'}",{'C': 29763.51441631313},{'var_smoothing': 0.0002310129700083158},"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 5, 'n_estimators': 150}"
1,AccuracyTrain,99.93489299899011,99.30484356752105,99.29997981293317,99.63717111903641,80.06943703342529,97.33185517408829
2,AccuracyTest,76.99481865284974,77.2020725388601,75.64766839378238,76.78756476683938,73.36787564766838,76.99481865284974
